price,apartment_type,metro_station,minutes_to_metro,number_of_rooms,area,living_area,kitchen_area,floor,number_of_floors,renovation
24.1,Secondary,Царицыно,25,4,113.7,66.7,12.6,4,11,Without renovation
9.5,Secondary,Марьино,16,1,36.4,19.0,8.2,3,16,Cosmetic
12.1,Secondary,Лесопарковая,4,1,38.5,15.0,15.5,3,19,European-style renovation
8.028161,Secondary, Бульвар Адмирала Ушакова,8,6,23.8,8.9,7.4,7,17,Cosmetic
27.381373,Secondary,Панфиловская,6,2,43.4,25.9,8.8,14,18,European-style renovation
8.82363,New building,Братиславская,13,1,44.79,24.8,10.3,12,16,Cosmetic
78.0,Secondary,Университет,20,5,163.5,65.1,37.5,16,18,Designer
15.6,Secondary,Пыхтино,21,2,60.0,34.0,10.0,20,25,Cosmetic
8.4,Secondary,Прокшино,13,0,21.2,14.4,5.6,8,18,Without renovation
25.35,Secondary,Спартак,10,2,72.2,33.7,19.1,17,23,Without renovation
10.95234,New building,Братиславская,13,2,61.53,28.5,16.7,11,16,Cosmetic
29.9,Secondary,Китай-город,11,2,59.5,29.3,7.7,1,4,Cosmetic
16.548739,New building,Варшавская,6,2,62.81,33.9,11.8,5,15,Cosmetic
37.99,Secondary,Академическая,7,4,103.4,64.7,12.9,13,18,Cosmetic
14.999,Secondary,Медведково,19,2,52.0,31.0,9.2,2,17,Cosmetic
8.13435,New building,Братиславская,13,1,44.45,13.9,18.0,11,16,Cosmetic
7.6,Secondary,Улица Скобелевская,12,0,20.1,15.0,3.0,33,33,Cosmetic
12.5,Secondary,Планерная,13,1,38.6,20.8,8.6,8,14,Cosmetic
3.95,Secondary,Планерная,7,0,12.0,8.2,7.6,1,9,European-style renovation
78.0,Secondary,Давыдково,23,5,128.0,77.0,10.0,7,25,Without renovation
18.1,Secondary,Дмитровская,9,2,51.2,28.0,10.9,9,9,European-style renovation
8.41164,New building,Братиславская,13,1,44.04,24.4,10.3,12,16,Cosmetic
32.0,Secondary, Площадь Гагарина,17,2,50.0,32.0,13.0,4,8,Designer
7.7,Secondary, Таганская,6,0,15.0,12.0,3.0,4,4,Designer
13.3,Secondary,Рассказовка,23,1,42.0,17.0,12.0,3,9,European-style renovation
7.1217,New building,Депо,19,1,36.9,20.8,9.7,2,11,Cosmetic
60.0,Secondary,Беляево,4,4,147.3,81.8,16.9,21,23,Designer
13.5,Secondary,Коньково,20,1,36.0,14.4,9.3,2,17,European-style renovation
31.5,Secondary,Фили,6,3,61.8,37.0,17.0,6,42,Designer
10.7525,New building,Депо,19,2,63.25,24.8,17.9,6,11,Cosmetic
22.5,Secondary,Новаторская,9,2,57.1,31.0,10.0,3,22,European-style renovation
12.2056,New building,Братиславская,13,2,69.35,28.1,21.3,2,16,Cosmetic
3.65,Secondary,Выхино,17,0,12.0,8.2,7.6,1,9,Cosmetic
10.94869,New building,Депо,19,2,60.49,32.7,11.6,12,11,Cosmetic
8.33272,New building,Депо,19,1,44.56,13.9,18.5,20,11,Cosmetic
5.2,Secondary,Коммунарка,56,0,19.5,9.0,3.0,3,9,Without renovation
18.0,Secondary,Бескудниково,30,2,60.0,30.0,12.0,3,14,European-style renovation
30.273039,Secondary, Балтийская,11,4,86.7,55.4,7.5,29,35,European-style renovation
15.0,Secondary,Румянцево,19,1,40.0,13.8,18.2,8,9,Designer
72.15794,Secondary, Стрешнево,11,6,172.9,147.9,20.0,27,27,Without renovation
3.66,Secondary, Бутырская,9,0,20.0,12.2,8.3,1,5,European-style renovation
79.9,Secondary,Охотный ряд,2,3,87.5,75.0,7.5,7,8,Designer
50.789,Secondary,ЗИЛ,21,3,106.0,55.7,15.4,12,15,Without renovation
26.407999,Secondary, Варшавская,14,4,80.58,42.9,13.3,4,13,European-style renovation
9.5,Secondary,Бибирево,13,1,36.1,20.0,8.0,1,16,Cosmetic
35.806755,Secondary, Коммунарка,10,5,167.8,60.8,49.8,2,17,European-style renovation
5.05,Secondary,Сокол,2,0,14.5,9.5,7.8,2,9,Cosmetic
13.5,Secondary,Сетунь,15,2,49.0,32.0,7.0,1,12,European-style renovation
17.7,Secondary,Технопарк,4,1,37.0,19.0,12.0,5,20,Without renovation
12.0,Secondary,Пражская,17,2,48.0,20.0,8.0,10,14,Cosmetic
19.0,Secondary,Говорово,8,2,64.4,32.3,10.6,2,25,European-style renovation
11.27875,New building,Братиславская,13,2,64.45,34.7,12.0,22,16,Cosmetic
13.8,Secondary,Красные ворота,8,1,36.6,19.0,9.1,1,5,Without renovation
21.5,Secondary,Первомайская,18,4,98.0,70.4,10.0,3,5,Cosmetic
12.1907,New building,Братиславская,13,2,71.71,38.4,12.6,6,16,Cosmetic
37.99,Secondary,Народное Ополчение,12,4,95.0,57.7,14.3,20,5,Without renovation
33.641055,Secondary, Народное Ополчение,11,4,110.1,10.6,15.7,2,21,European-style renovation
23.0,Secondary,Ясенево,23,4,96.0,61.8,10.1,4,17,European-style renovation
11.2,Secondary,Саларьево,24,1,38.0,14.0,11.0,5,16,European-style renovation
10.82771,New building,Депо,19,2,60.49,32.7,11.6,3,11,Cosmetic
12.5,Secondary, Братиславская,2,1,37.9,19.0,9.6,5,25,Cosmetic
15.8,Secondary,Некрасовка,25,3,77.9,43.7,9.3,8,16,Cosmetic
13.9,Secondary,Нижегородская,10,2,47.6,32.0,9.1,3,12,Cosmetic
7.69,Secondary, Динамо,14,0,28.0,16.3,9.0,2,2,Designer
37.0,Secondary, Чкаловская,2,2,61.0,26.3,20.0,17,21,European-style renovation
15.3,Secondary,Ботанический сад,8,3,58.7,43.1,6.0,9,9,European-style renovation
14.852,Secondary,Таганская,7,1,31.6,6.5,18.8,2,6,Without renovation
20.0,Secondary,Красный Балтиец,6,3,65.2,46.3,7.8,2,16,Cosmetic
30.3,Secondary,Технопарк,15,3,55.0,28.0,17.0,5,14,European-style renovation
15.5479,New building,Аннино,7,2,85.0,45.1,13.7,4,22,Cosmetic
12.898828,New building,Каширская,4,2,41.47,23.1,10.1,10,10,Cosmetic
15.0,Secondary,Зябликово,12,2,60.0,30.4,8.0,5,12,Cosmetic
44.24,Secondary, Фили,6,3,63.2,34.1,11.9,40,41,Designer
9.2,Secondary,Сокол,9,0,19.3,15.6,8.2,6,14,Designer
5.15781,New building,Братиславская,13,0,27.29,17.3,8.9,14,16,Cosmetic
49.756302,Secondary, Мичуринский проспект,10,5,119.3,58.8,30.5,24,30,Without renovation
10.5,Secondary,Прокшино,28,1,36.0,20.3,12.0,5,10,European-style renovation
3.55,Secondary,Нижегородская,12,0,11.8,8.9,7.6,2,4,European-style renovation
13.25,Secondary,Ростокино,28,1,32.5,15.3,9.5,20,22,European-style renovation
9.85425,New building,Депо,19,2,56.31,31.2,9.0,4,11,Cosmetic
22.497071,New building,Варшавская,6,3,90.3,48.0,18.0,9,15,European-style renovation
3.8,Secondary, Технопарк,10,0,15.5,10.0,7.9,1,2,Cosmetic
5.45,New building,Депо,19,0,27.25,15.9,8.9,2,11,Cosmetic
17.26168,Secondary, Нагатинская,15,2,40.1,26.7,2.7,15,26,Cosmetic
13.5,Secondary,Нижегородская,10,2,43.4,30.0,10.0,21,28,Without renovation
