price,apartment_type,metro_station,minutes_to_metro,number_of_rooms,area,living_area,kitchen_area,floor,number_of_floors,renovation
110.0,Secondary,Маяковская,5,4,140.0,100.0,20.0,10,13,Designer
159.5,Secondary,Тверская,9,5,190.2,138.0,15.0,6,5,Designer
89.0,Secondary,Чеховская,7,5,190.0,98.2,22.4,3,5,Without renovation
260.0,Secondary,Кунцевская,11,4,434.0,137.0,13.0,22,22,Without renovation
145.0,Secondary, Балтийская,13,4,332.0,170.0,34.1,6,6,Designer
139.0,Secondary, Улица 1905 года,15,3,100.0,52.7,14.9,18,21,Designer
169.0,Secondary, Библиотека и Ленина,4,4,137.0,91.0,7.0,4,5,Designer
180.0,Secondary, Минская,14,5,178.0,165.0,21.4,6,8,Without renovation
167.5,Secondary,Минская,15,0,167.0,86.0,10.0,6,8,Without renovation
250.0,Secondary,Ломоносовский проспект,20,6,383.0,300.0,30.0,1,22,Designer
89.2,Secondary,Арбатская,7,3,103.0,56.0,14.0,5,9,European-style renovation
129.9,Secondary, Сокол,10,6,235.0,150.0,16.0,2,5,European-style renovation
720.0,Secondary, Арбатская,7,5,320.0,163.9,33.1,7,8,Designer
132.0,Secondary, Беговая,5,4,133.5,49.5,17.7,10,21,European-style renovation
457.0,Secondary, Университет,3,6,460.0,350.0,20.0,16,24,Designer
204.0,Secondary, Фрунзенская,5,4,170.0,88.1,20.7,6,8,Without renovation
140.0,Secondary,Красные ворота,7,0,130.0,70.0,20.0,8,8,Designer
350.0,Secondary,Новослободская,7,6,357.0,182.6,36.2,1,2,Without renovation
94.0,Secondary,Маяковская,8,4,152.0,120.0,16.0,2,4,European-style renovation
155.0,Secondary,Курская,9,4,185.0,95.7,25.0,2,10,Designer
249.99,Secondary, Маяковская,2,5,270.0,138.6,29.0,9,11,Designer
85.0,Secondary,Маяковская,9,3,143.0,74.4,18.5,5,9,Designer
167.0,Secondary,Тверская,7,3,143.7,92.0,20.0,4,8,Designer
97.58,Secondary, Маяковская,1,2,57.4,25.6,11.4,7,9,Designer
133.836,Secondary, Парк Культуры,10,3,111.53,8.2,15.9,4,6,Designer
230.0,Secondary, Шаболовская,12,6,230.0,120.6,18.0,17,17,Designer
210.0,Secondary,Ломоносовский проспект,19,5,510.0,260.0,20.0,14,16,Designer
85.499,Secondary,Минская,57,5,126.0,65.8,17.1,7,14,Without renovation
100.0,Secondary,Ленинский проспект,13,4,141.2,73.5,18.3,14,22,Without renovation
183.3044,Secondary,Красные ворота,10,4,102.1,53.8,15.1,15,19,Designer
169.0,Secondary, Библиотека и Ленина,4,4,136.6,6.5,17.9,4,5,Designer
380.0,Secondary, Ломоносовский проспект,4,6,303.0,126.0,22.0,3,12,Without renovation
792.0,Secondary,Смоленская,6,6,415.0,300.0,33.0,12,3,Without renovation
260.0,Secondary, Ломоносовский проспект,16,5,582.0,296.4,54.8,21,21,Designer
161.28,Secondary,Деловой центр,14,5,153.6,93.0,17.0,9,75,Designer
117.616637,Secondary, Академическая,1,5,143.1,101.7,10.2,19,19,Designer
210.0,Secondary, Деловой центр,15,6,225.0,131.8,39.2,14,20,Without renovation
100.0,Secondary,Смоленская,8,7,191.7,132.2,22.5,2,5,Designer
155.0,Secondary,Спортивная,11,4,138.5,72.2,12.0,5,15,Designer
109.0,Secondary,Проспект Мира,6,5,216.4,152.0,25.0,3,17,Designer
289.0,Secondary, Аэропорт,9,4,405.0,265.6,49.3,20,21,Designer
90.0,Secondary,Октябрьское поле,9,6,317.4,162.6,32.9,26,27,Without renovation
306.81,Secondary, Чистые пруды,4,4,176.7,53.1,53.4,3,6,Designer
155.0,Secondary,Выставочная,9,6,235.0,150.0,25.0,15,21,Without renovation
350.0,Secondary, Спортивная,9,6,305.0,250.0,25.0,2,5,Designer
100.0,Secondary,Международная,6,3,93.0,49.2,20.0,24,77,Designer
129.0,Secondary, Смоленская,9,6,336.4,140.0,40.0,4,4,Designer
583.719,Secondary,Шаболовская,8,6,602.8,510.0,40.0,18,20,Designer
180.0,Secondary, Новослободская,8,5,198.8,102.6,23.1,4,10,Without renovation
96.0,Secondary,Речной вокзал,10,6,260.0,153.0,28.0,4,15,Designer
165.0,Secondary, Новокузнецкая,3,3,135.0,80.0,20.0,4,12,Designer
150.0,Secondary, Новослободская,1,5,350.0,16.0,35.6,17,17,European-style renovation
102.207781,Secondary, Парк Победы,7,3,86.8,65.7,13.8,10,34,Designer
124.99,Secondary, Улица 1905 года,11,5,183.0,125.3,52.7,6,17,Without renovation
170.0,Secondary, Спортивная,10,3,169.0,87.6,20.6,4,6,Without renovation
189.749625,Secondary,Улица 1905 года,10,4,165.0,120.0,30.0,9,18,Without renovation
341.0,Secondary, Спортивная,7,5,227.5,117.1,25.5,6,12,Without renovation
150.206875,Secondary, Калужская,18,5,180.7,105.9,12.2,46,47,Designer
120.0,Secondary, Киевская,15,3,100.0,9.6,14.9,6,7,European-style renovation
400.0,Secondary, Арбатская,7,6,192.7,99.6,22.6,6,8,Designer
223.80725,Secondary,Новые Черемушки,14,6,400.0,204.4,39.7,8,15,Designer
704.451599,Secondary,Охотный ряд,7,4,301.5,154.6,35.0,4,5,Without renovation
145.0,Secondary, Минская,13,5,165.0,100.0,40.0,35,39,Designer
209.25,Secondary, Международная,6,4,225.0,100.0,50.0,63,79,Designer
214.0303,Secondary,Улица 1905 года,12,5,180.8,85.5,11.5,33,44,Designer
200.0,Secondary, Минская,7,6,385.0,123.0,24.0,1,3,Without renovation
350.0,Secondary,Международная,2,4,295.0,151.3,20.0,79,88,Designer
457.0,Secondary,Университет,6,5,460.0,350.0,20.0,16,19,Designer
126.977697,Secondary, Шелепиха,9,5,166.5,63.8,42.0,19,32,Designer
371.32542,Secondary,Тверская,8,4,212.0,109.3,24.2,4,11,European-style renovation
215.0,Secondary,Фрунзенская,15,3,154.1,21.2,31.1,7,11,Designer
89.0,Secondary, Пушкинская,6,6,189.0,127.0,22.0,3,5,Without renovation
115.0,Secondary,Ломоносовский проспект,15,5,212.0,109.3,24.2,6,17,Designer
92.0,Secondary, Минская,28,5,139.0,31.8,18.1,3,13,Designer
105.0,Secondary,Крылатское,12,4,191.0,98.0,16.0,10,23,European-style renovation
159.5,Secondary, Кутузовская,8,4,181.4,15.0,21.6,22,53,Designer
123.49,Secondary, Улица 1905 года,12,5,182.0,80.0,52.5,7,16,Designer
142.0,Secondary, Кропоткинская,11,5,184.0,18.0,21.9,4,5,Designer
115.222,Secondary,Курская,8,5,218.0,112.3,40.0,4,4,Without renovation
146.43,Secondary, Площадь Революции,2,1,67.07,14.7,27.6,2,5,Designer
110.0,Secondary,Шаболовская,13,3,110.0,60.0,12.0,15,18,Designer
85.0,Secondary,Новослободская,4,3,122.1,63.9,16.7,4,17,Designer
137.2,Secondary, Калужская,12,5,280.0,143.7,29.8,21,35,Designer
291.9225,Secondary,Терехово,46,5,344.8,176.4,35.2,2,4,European-style renovation
153.0,Secondary,Арбатская,5,3,94.0,34.0,14.4,2,8,European-style renovation
85.0,Secondary, Фили,27,4,160.0,75.0,13.0,12,12,Designer
84.999,Secondary,Аэропорт,9,4,167.0,86.6,20.5,12,57,European-style renovation
94.9,Secondary,Арбатская,12,4,133.0,80.0,10.0,4,6,European-style renovation
202.625,Secondary, Спортивная,8,4,162.1,15.0,20.1,8,9,Designer
220.0,Secondary, Новокузнецкая,9,3,160.0,83.0,19.9,5,6,Designer
157.9,Secondary,Белорусская,12,5,180.0,95.0,23.3,16,24,Without renovation
92.0,Secondary,Молодежная,16,5,226.2,116.5,25.4,7,10,Designer
